subject,link,goal
Ta_présence,suivant,Jésus_nous_élevons_ton_nom_plus_haut
De_gloire_en_gloire,suivant,Fais_moi_monter
Fais_moi_monter,suivant,Je_reconnais
Je_reconnais,suivant,Gloire_à_l_agneau
Likolo_na_se,suivant,Yaya
Yaya,suivant,Mosantu
Tu_es_mon_Dieu,suivant,Jehova
Je_veux_exprimer,suivant,Je_t_aime_tu_le_sais
Il_n_y_a_point_de_Dieu_comme_Jésus,suivant,Tu_es_mon_Dieu
Tu_es_mon_Dieu,suivant,Bobeleyo
suitobeleyo,suivant,Tu_es_vivant
Tu_es_vivant,suivant,Alleluia
Alleluia,suivant,Jéhovah
Je_veux_exprimer,suivant,L_amour_est_une_personne
Ouvres_les_écluses_des_cieux,suivant,Tu_viens_du_ciel
Quand_je_contemple_ta_sainteté,suivant,De_gloire_en_gloire
De_gloire_en_gloire,suivant,Je_reconnais
Je_reconnais,suivant,Car_il_est_glorieux
Je_chanterais_de_tout_coeur,suivant,Kumama
Kumama,suivant,Commando
Emmanuel,suivant,Emmanuel_est_là
Roi_de_mon_salut,suivant,Revetu_de_gloire
Revetu_de_gloire,suivant,Sa_main_nous_touche
Gloire_à_l_agneau,suivant,Assis_sur_ton_trône
Assis_sur_ton_trône,suivant,Jésus_nous_te_couronnons
Jésus_nous_te_couronnons,suivant,Gloire_à_l_agneau
Alleluia,suivant,Alleluia_amen
Nous_te_louons,suivant,Là_haut
Je_parlerai_de_ta_bonté,suivant,Hosanna_amen
Je_parlerai_de_ta_bonté,type,louange
Alleluia_amen,type,louange
Hosanna_au_plus_haut_des_cieux,type,louange
